TIME,Intentional homicide,Harm,Robbery,Burglary,Theft,Unlawful acts
Belgium,5272,1224315,309515,972009,775077,146978
Bulgaria,4973,385543,79933,642961,176243,58492
Czechia,3211,333605,70490,184953,392592,76691
Denmark,1102,262248,78137,498210,587095,72369
Germany,15720,2860515,755139,2319087,2393830,960663
Estonia,2898,97374,98817,96608,30960,6165
Ireland,1420,172540,119514,280073,205859,70857
Greece,2106,139362,29218,559245,342717,106677
Spain,7633,1626947,1278234,1211832,1894085,187014
France,15312,3595052,1298537,3146841,5226834,97435
Croatia,1781,316737,13973,455624,499196,114545
Italy,12669,1745225,1070902,2832573,4169916,553250
Cyprus,147,3466,639,26556,19444,5585
Latvia,3800,314929,107227,417871,187819,18923
Lithuania,5811,77506,61938,120125,74781,4605
Luxembourg,713,368912,4658,35908,10080,15637
Hungary,3584,433011,45604,349077,228124,48974
Malta,2545,619886,70688,379913,369601,55734
Netherlands,3436,1429712,252657,1510189,599178,160062
Austria,1601,646563,92082,261517,247200,39613
Poland,11060,962776,463249,948344,739571,29516
Portugal,2462,315716,251739,329202,365334,54463
Romania,8884,115763,53263,273212,27462,25780
Slovenia,1446,33584,6039,278767,87392,12333
Slovakia,2398,185432,69036,50717,99102,10036
Finland,2010,495684,74567,137973,320396,115229
Sweden,1405,1177822,115313,256996,1025232,83169
Iceland,671,906644,102377,448142,818092,50822
Liechtenstein,650,121540,35822,102212,297874,20440
Norway,579,282141,19460,186147,280233,228204
Switzerland,1724,135600,61719,1012301,818092,114249
England and Wales,11941,9637511,1280022,5650017,5394896,319151
Scotland,1727,387137,67649,501978,389913,129508
Northern Ireland (UK),1250,339873,25392,123650,113882,5764
Montenegro,4245,492115,150780,765573,582526,67291
North Macedonia,3728,357608,106171,436402,485888,52804
Serbia,4817,602542,317458,492449,516332,75703
Türkiye,75823,1249580,82841,796682,294895,90727
