,C1,C2,C3,C4,C5,C6
Belgium,0.0006040119363465618,0.00028923245676650553,0.000367777306719426,0.0006302463490091719,0.00949937038490504,0.008193397561446285
Bulgaria,0.00363887371113556,3.2155621284312773e-05,0.00025633196442523124,0.0025385140962431822,0.0001211147489625978,0.05323060709685445
Czechia,0.005124520899261158,0.00027476475841084914,0.00026548021630361105,0.00010323200644178373,0.0005068054256698076,0.022194977112605912
Denmark,0.0033968181937396153,0.002650840398716986,1.966407680068801e-05,0.00011368844896566895,0.01637030814551476,0.0005319094558285526
Germany,0.1146699902361359,0.005528785870713424,0.5686417434676821,0.02454346728272721,0.02584329556423059,0.013785923714417695
Estonia,0.009829922261427728,0.0002432252175793717,0.0018874031713302885,0.00135113518950769,0.005882477987923162,7.126761204265498e-07
Ireland,0.00564693191436445,0.0016165631807554637,0.0003086382758225828,0.00031176402916440236,0.001517713478668042,0.0011398213375139942
Greece,0.004152512485287865,0.0009243114836290726,0.0025897561223995652,0.0027069177291923715,0.014101886152510863,0.021555168928329538
Spain,0.0321946852376555,0.0028538750404751246,0.00046849348062617027,0.29122051140529365,0.3760650043510694,0.0005176652561021272
France,0.14967356591622827,0.0013998540200053499,0.10476633620088135,0.17513629141086104,0.1404390879311435,0.03948670387967213
Croatia,0.00363038105967115,0.0013411781881042407,0.0028436087770000048,0.00450525534839705,0.018443476464079872,0.0005310827661603825
Italy,0.12179795021837671,0.0004108697010129326,0.08460258124413846,0.11236553067129355,0.16779038411646752,0.01729723623817222
Cyprus,0.013631252328214981,0.002208230040360906,0.0009726936358039771,8.957112604620173e-05,1.8704211715351396e-05,0.0017947311379719788
Latvia,0.005528674996966053,0.00010530662256741847,0.0025799302849707348,1.3495097311667081e-11,0.0006232880267924235,0.012934541307853596
Lithuania,0.009666398578303948,0.0006204957607283335,0.002305620397497192,0.0005524691173050863,0.0004837112740123293,6.511627932240862e-05
Luxembourg,0.011234322108426072,0.001702730219964194,0.0012315628681923033,0.0028302155813318417,0.003235386015864914,0.01421355042106352
Hungary,0.005573855025074674,0.00010561199599696013,0.00034487667083524655,0.002579746095596785,4.8207187964162675e-05,6.249471035451235e-07
Malta,0.003941124819419338,0.000851972331756187,0.0004693035468323925,0.003035689147354214,4.242128199887817e-06,0.0040407517796346324
Netherlands,0.0014378687796795446,0.0017728958570573897,0.00037986314970464433,0.0195329958140488,0.003803873706975951,0.2061321675342205
Austria,0.005100532238143024,0.0016349314425819187,0.0011943153890268453,0.0017390482616218117,0.005250712949388627,0.00913210263109064
Poland,0.0003909452894012898,0.0029081452575088146,0.012510122272064453,0.01846137802825693,0.03129646994449259,0.04832808025972113
Portugal,0.0029060631327109316,0.0013453369198706488,0.00028603805491870697,0.008195096912200932,0.013006200752145168,0.0004191515111367907
Romania,0.007691639644122543,0.004464219779567813,0.0010683789130755358,1.213152302904201e-06,0.00016091757182895377,0.007649055432000268
Slovenia,0.010416219318422683,0.001092131747470054,0.0012052329568386902,0.0005788889330724429,0.0026878226322449594,0.009297066970664828
Slovakia,0.00993986845242988,0.0004895028501550016,0.0016766010453193169,0.00021658874630629078,0.0026894457354021033,0.006674499278615621
Finland,0.00443956272001214,0.0009899788715906112,0.003189537055046059,0.0016021155790784042,0.001723470936114997,0.04189104706072896
Sweden,0.0007866966721315669,0.0035184134394589867,0.0005348275409980081,0.0029334377806573926,0.0029718842044489965,0.24078698362107068
Iceland,0.0016281355278042345,0.004377005230669791,0.0022847113389504446,0.0024314515225336954,0.005664959591110045,0.04794988105235135
Liechtenstein,0.00939262338372162,0.0022602786158687016,0.0008362058263993074,3.240024180677816e-05,0.002458502308925561,0.011768347186218166
Norway,0.0036218906743089477,0.0019485290557018115,0.0370633138417201,0.007329558389108133,0.00016248900963187885,0.02722149461063531
Switzerland,0.0009150699573622971,0.0024138124022362955,0.0013801945325405873,0.001547976833861953,0.08858420798524685,0.09190448084863508
England and Wales,0.4173115728724818,0.018909227788053085,0.14175859357206375,0.2954015635611498,0.025599429600848985,2.269907401323459e-05
Scotland,0.0027708785039450767,0.001484758506549207,0.004358542942529784,0.003389443816757289,0.002564082579877814,0.0014485479103652228
Northern Ireland (UK),0.009872613943235835,0.0014117685183061002,0.0025701373752577755,0.0011714532304432745,0.0005824776754175613,0.006323355588154733
Montenegro,0.0011557172609200587,0.0002558266853734756,0.0005588218716427326,7.911024933341725e-05,0.005243023363865003,0.028990600917829446
North Macedonia,0.00346926519197313,0.00025064046858665206,0.00045969194503308567,5.0789039080398664e-06,0.0032109661635960816,1.0952989142699778e-05
Serbia,0.0006225610006792804,0.00016767782587252158,0.00030034268145984894,0.008205736340803923,0.02107577894643942,0.00044199652965724303
Türkiye,0.0021944835104785567,0.9251449158286935,0.011462725987148602,0.0025312186545218243,0.0002688207463042182,0.002092967097574737
