,C1,C2,C3,C4,C5,C6
Belgium,0.3054410913136304,-0.10098913027475653,0.09402800220907058,-0.0799384953017046,-0.16778432281521627,0.09657582229025066
Bulgaria,-0.749701179129227,0.03367282639770215,-0.07849936211905469,-0.16043184928897908,0.018945343565186634,0.24615978852757528
Czechia,-0.889674896556688,-0.09843094015296841,0.07988786709892985,-0.03235251030217492,0.03875471938153836,-0.15895117813771928
Denmark,-0.7243373062345302,-0.3057334162191267,0.021742101841821525,-0.03395150033066576,0.22025835732106008,0.02460680660233909
Germany,4.208521885239916,0.4415358829692034,3.697295086700475,-0.49884860023480276,-0.27674381021239663,-0.12527209370227302
Estonia,-1.2321958558326682,-0.0926094743286906,-0.21300857403155934,0.1170442821726519,-0.132033496416643,0.0009007048557564176
Ireland,-0.9339227997179188,-0.23875224296340655,0.08613697915791016,0.05622297246691474,-0.06706545328782969,0.03602091925514965
Greece,-0.8008665885108984,-0.18053453560040275,0.24951357515638686,-0.16566788513403946,0.20442903136451424,0.15664340533269183
Spain,2.229958567158312,-0.3172258687315461,-0.10612471103193398,1.7183506045347317,-1.055687621445785,0.024275093384431175
France,4.80814166472286,-0.22217362096825627,-1.5869952358682977,1.3325664488799478,0.6451310856783756,-0.212012682943233
Croatia,-0.7488258162326492,-0.21746749889981595,0.26145663524726276,-0.21372754901866553,0.23378969354048407,-0.024587677310097162
Italy,4.337352229128215,-0.12036581943158682,1.4261215799731746,1.0673758035857202,0.7051597301119006,0.14032167459224232
Cyprus,-1.4510172676317088,-0.27904437705854374,-0.15291594818366747,-0.03013594516325388,0.007445153797671547,-0.045199756932200456
Latvia,-0.9240920468535295,-0.06093670411785395,-0.2490397834899473,-1.169738569997985e-05,-0.04297821369029178,0.12134221448954093
Lithuania,-1.2219039014581756,0.14791783039807466,-0.23542828969159,0.07484362309701317,-0.037861435289853945,-0.008609564603573192
Luxembourg,-1.3172801212593355,-0.24503269730741914,-0.17206519777484608,-0.1693988894039434,-0.09791901153926297,-0.1272001688174694
Hungary,-0.927860178975016,-0.0610249938139968,-0.09105350195149302,-0.16172951413501976,0.011952530708447004,-0.0008434474513456959
Malta,-0.7802159008139669,-0.17332605977514393,-0.10621642085942645,-0.1754403354035344,0.003545650001484881,-0.06782151501086306
Netherlands,0.4712640695006,-0.25003035145542185,0.09556048104418638,-0.4450258398231258,-0.10617371498634962,0.4844057453198483
Austria,-0.8875901021862231,-0.24010482742712186,-0.169443244600952,-0.13278732350327527,-0.12474211608683261,-0.10195811374639319
Poland,0.2457325539938271,0.32022789925289585,-0.5483975703932613,0.43264616413716306,-0.30454512082758545,0.2345503970452297
Portugal,-0.6699728822860482,-0.2178044000682347,-0.0829233145144957,0.2882556621468294,-0.19632662251063723,0.021843484491283555
Romania,-1.0899690514766627,0.39675636478502735,-0.1602608340520451,-0.0035071832911721355,-0.021837640091945554,0.09331260302863971
Slovenia,-1.2684102998937736,-0.19624049683500752,-0.1702159465659418,-0.07661228638573032,0.08924918768308211,0.10287488912637158
Slovakia,-1.2390676562206977,-0.13137984077766424,-0.20076112058452317,0.04686177598877013,-0.08927613119747399,-0.0871657247893939
Finland,-0.8280847754794967,-0.18683751470357993,0.27690358011458927,-0.12745231308020227,-0.07146706563342525,-0.21837202845980555
Sweden,-0.34858473006448376,-0.3522285494286301,-0.11338918308321741,-0.1724603410013658,0.09384689551531437,-0.5235436586306839
Iceland,-0.5014757987496675,-0.3928616637967038,-0.23435834010376558,-0.15701227545223478,0.12956937888794023,-0.23363083844207694
Liechtenstein,-1.2044760159617118,-0.28231379945085994,-0.14178207872568493,0.018124871057894835,0.08535702677703619,-0.11574284056723122
Norway,-0.7479496628397129,-0.2621226572157129,0.9439236519546533,-0.27260869538119337,0.021944008588837074,-0.17603230827186298
Switzerland,-0.37595152499239803,-0.2917446333718348,0.1821523993141631,-0.1252803703120132,0.5123681463210547,0.3234482036672518
England and Wales,8.02850933249995,-0.8165598379147381,-1.8460329253291157,-1.7306418231751508,-0.27543499179719805,0.00508323831428562
Scotland,-0.6542043746551928,-0.22881212256769484,0.32369456648533507,-0.18538091425557945,0.0871705874638838,0.040607180174116776
Northern Ireland (UK),-1.2348686908717497,-0.2231171045507781,-0.2485666810080181,-0.1089841338771321,-0.04154737703664404,-0.08484186424921342
Montenegro,-0.4225036858276425,-0.09497822319003586,-0.11590480552165325,-0.02832156034049053,0.12465074119874368,0.18166238399395657
North Macedonia,-0.7320208506732339,-0.09401057645072218,-0.10512310782666419,0.007176055650298718,0.09754877799203018,0.0035310407458158484
Serbia,-0.31009563851599015,-0.07689337722034476,-0.08497149742037233,0.28844271794427917,-0.24991699262925926,0.02243085511652979
Türkiye,0.5821982063436857,5.711576552265698,-0.5249388315664313,-0.16020115068106502,0.028225091596044583,-0.048810988287870664
