,C1,C2,C3,C4,C5,C6
Belgium,0.149493951867033,-0.10344854228243476,0.11665230537207033,-0.15270597536880925,-0.5928547075308457,0.5505957771119487
Bulgaria,-0.36693095714591273,0.034492868647295366,-0.0973872819403722,-0.3064718935905833,0.06694210716444542,1.4034003215702933
Czechia,-0.43543917287339085,-0.10082805195579952,0.09910987843415811,-0.06180278503713243,0.13693721462693323,-0.9062086697700557
Denmark,-0.35451695751877044,-0.31317901390822533,0.02697352112026636,-0.06485732504297224,0.7782682065869341,0.14028773954147356
Germany,2.059803300982166,0.4522887100253515,4.586910126469039,-0.9529471598472328,-0.9778557848049613,-0.7141982759944548
Estonia,-0.6030813574243741,-0.09486481460708572,-0.2642610779876987,0.2235889129894069,-0.4665315482935273,0.005135077064249589
Ireland,-0.4570957020487991,-0.24456663240914958,0.10686260433582717,0.10740236998820323,-0.23697130355956023,0.2053616066552303
Greece,-0.3919731648412311,-0.1849311355458449,0.3095496350002432,-0.31647425800547796,0.7223363396942584,0.8930516504369654
Spain,1.0914226284044384,-0.3249513448157732,-0.13165963232201539,3.282553719590263,-3.730201758751058,0.13839658404663963
France,2.3532789760035766,-0.22758426733893072,-1.968845966405855,2.545592815475771,2.279527638229526,-1.20872165677126
Croatia,-0.366502522785086,-0.22276353597448764,0.3243663434282294,-0.40828231395774534,0.8260802801005188,-0.1401786800763013
Italy,2.122857545404292,-0.12329711650107025,1.769264114267036,2.0390008913283646,2.4916348473059338,0.7999985880064839
Cyprus,-0.7101804954685492,-0.28584001030883244,-0.1897094212862058,-0.057568495409463905,0.02630695408951781,-0.2576917773328493
Latvia,-0.4522841749251723,-0.062420709984703636,-0.30896184318442477,-2.2345438025057425e-05,-0.1518606499107637,0.6917933422566165
Lithuania,-0.5980441015487452,0.15152010806143296,-0.2920752552124127,0.14297327491628709,-0.13378085490254607,-0.04908464459409993
Luxembourg,-0.6447246838858929,-0.25100003613281635,-0.21346621775614794,-0.32360157062239087,-0.3459902926196068,-0.725190571904618
Hungary,-0.4541284354978918,-0.06251114982055218,-0.11296210347237744,-0.3089508141065194,0.042233469602603206,-0.004808642514386927
Malta,-0.381865969050026,-0.1775471100158459,-0.13177340867109152,-0.335142504693311,0.012528317660238679,-0.38666240552513054
Netherlands,0.23065373365316053,-0.25611939932602407,0.11855351761576637,-0.850129898968273,-0.3751577363697961,2.7616824941991633
Austria,-0.4344187988695837,-0.24595215667997494,-0.2102133901396227,-0.2536627400309456,-0.44076794249057877,-0.5812811689280426
Poland,0.12027042740361286,0.32802648449146,-0.680348825284783,0.8264810869254703,-1.0760898605349924,1.3372131354461303
Portugal,-0.3279090360302754,-0.2231086417761848,-0.102875692133721,0.5506528722811084,-0.6937070187257504,0.12453355335836667
Romania,-0.5334703992093038,0.4064186657180117,-0.19882157776205975,-0.006699748891373129,-0.0771618439234785,0.531991589204198
Slovenia,-0.6208060202524127,-0.2010195877430654,-0.21117201377794237,-0.14635194062150458,0.31535604860706723,0.5865078668821045
Slovakia,-0.6064446658516385,-0.13457936489571884,-0.24906673538795712,0.08951973867998479,-0.3154512517170875,-0.49694715343663703
Finland,-0.40529473305293406,-0.1913876125794263,0.34353001475373884,-0.24347130513861587,-0.2525241070398122,-1.2449774059182608
Sweden,-0.17061001397593273,-0.36080645401653,-0.1406720264193499,-0.3294498412267391,0.3316017424028593,-2.9848146331019554
Iceland,-0.24544045006631782,-0.40242911616181815,-0.29074786248769974,-0.29993950445672674,0.45782475344947277,-1.3319705698464173
Liechtenstein,-0.5895142620816733,-0.28918905371251846,-0.175896604790355,0.034623820512052,0.3016033577900704,-0.6598703250564231
Norway,-0.3660737015266612,-0.2685061918484692,1.1710433861064422,-0.5207625758414299,0.07753768990871139,-1.003591201931095
Switzerland,-0.18400431631460437,-0.2988495589468769,0.22598052505470836,-0.23932225732867451,1.8104186519847048,1.8440351925599134
England and Wales,3.9294437515101066,-0.8364457114230208,-2.2902113356994707,-3.3060335527278837,-0.9732311622792436,0.028980437168712184
Scotland,-0.3201913562949003,-0.23438443792692512,0.40157949259592657,-0.35413192629304097,0.30801145344853426,0.23150868813829192
Northern Ireland (UK),-0.6043895398662404,-0.22855072779872232,-0.3083749063794549,-0.208191665362476,-0.14680488408240935,-0.4836984150911844
Montenegro,-0.20678863279697496,-0.09729125016577075,-0.1437929388070954,-0.054102488162157944,0.4404450754214469,1.0356892555007429
North Macedonia,-0.3582775629355064,-0.09630003809815507,-0.1304170309669107,0.013708371332783307,0.3446820970881057,0.02013108537262433
Serbia,-0.15177205614056022,-0.07876597969481046,-0.10541669324169868,0.5510102037256165,-0.8830650151706012,0.12788225677285295
Türkiye,0.2849489250509757,5.850671917452014,-0.6512456230367293,-0.3060311915758058,0.09973147754473519,-0.27828004349982555
